Crop,CROP.WILD.RELATIVE,GENEPOOL,GRAFTSTOCK,TRAIT,ONTOLOGY,BREEDING.TYPE
Proso millet,Panicum boreale,NA,NA,NA,NA,NA
Proso millet,Panicum capillare,ProbProg,,,NA,
Proso millet,Panicum clandestinum,NA,NA,NA,NA,NA
Proso millet,Panicum colombianum,NA,NA,NA,NA,NA
Proso millet,Panicum depauperatum,NA,NA,NA,NA,NA
Proso millet,Panicum dichotomiflorum,NA,NA,NA,NA,NA
Proso millet,Panicum dichotomum,NA,NA,NA,NA,NA
Proso millet,Panicum flexile,NA,NA,NA,NA,NA
Proso millet,Panicum lanuginosum,NA,NA,NA,NA,NA
Proso millet,Panicum leibergii,NA,NA,NA,NA,NA
Proso millet,Panicum linearifolium,NA,NA,NA,NA,NA
Proso millet,Panicum longifolium,NA,NA,NA,NA,NA
Proso millet,Panicum macrocarpon,NA,NA,NA,NA,NA
Proso millet,Panicum meridionale,NA,NA,NA,NA,NA
Proso millet,Panicum occidentale,NA,NA,NA,NA,NA
Proso millet,Panicum oligosanther,NA,NA,NA,NA,NA
Proso millet,Panicum pacificum,NA,NA,NA,NA,NA
Proso millet,Panicum perlongum,NA,NA,NA,NA,NA
Proso millet,Panicum philadelphicum,NA,NA,NA,NA,NA
Proso millet,Panicum praecocius,NA,NA,NA,NA,NA
Proso millet,Panicum rigidulum,NA,NA,NA,NA,NA
Proso millet,Panicum sphaerocarpon,NA,NA,NA,NA,NA
Proso millet,Panicum sprentum,NA,NA,NA,NA,NA
Proso millet,Panicum subvillosum,NA,NA,NA,NA,NA
Proso millet,Panicum thermale,NA,NA,NA,NA,NA
Proso millet,Panicum villosissimum,NA,NA,NA,NA,NA
Proso millet,Panicum virgatum,,,,NA,
Proso millet,Panicum wilcoxianum,NA,NA,NA,NA,NA
Proso millet,Panicum xanthophysum,NA,NA,NA,NA,NA
Quinoa,Chenopodium capitatum,NA,NA,NA,NA,NA
Quinoa,Chenopodium fremontii,NA,NA,NA,NA,NA
Quinoa,Chenopodium hybridum,NA,NA,NA,NA,NA
Quinoa,Chenopodium leptophyllum,NA,NA,NA,NA,NA
Quinoa,Chenopodium rubrum,NA,NA,NA,NA,NA
Raspberry,Rubus acualis,NA,NA,NA,NA,NA
Raspberry,Rubus allegheniensis,Primary,,Agronomic,NA,Crop Quality (AG)
Raspberry,Rubus articus,NA,NA,NA,NA,NA
Raspberry,Rubus canadensis,Primary,,Agronomic,NA,Crop Quality (AG)
Raspberry,Rubus chamaemorus,Tertiary,,,NA,
Raspberry,Rubus enslenii,NA,NA,NA,NA,NA
Raspberry,Rubus glagellaris,NA,NA,NA,NA,NA
Raspberry,Rubus hispidus,NA,NA,NA,NA,NA
Raspberry,Rubus idaeus,Secondary,,,NA,
Raspberry,Rubus laciniatus,NA,NA,NA,NA,NA
Raspberry,Rubus lasiococcus,NA,NA,NA,NA,NA
Raspberry,Rubus leucodermis,Primary,,,NA,
Raspberry,Rubus nivalis,NA,NA,NA,NA,NA
Raspberry,Rubus occidentalis,,,,NA,
Raspberry,Rubus odoratus,Secondary,,Agronomic,NA,High Yield (AG)
Raspberry,Rubus parviflorus,NA,NA,NA,NA,NA
Raspberry,Rubus paracaulis,NA,NA,NA,NA,NA
Raspberry,Rubus pedatus,NA,NA,NA,NA,NA
Raspberry,Rubus pensilvanicus,NA,NA,NA,NA,NA
Raspberry,Rubus procerus,NA,NA,NA,NA,NA
Raspberry,Rubus pubescens,NA,NA,NA,NA,NA
Raspberry,Rubus recurvicaulis,NA,NA,NA,NA,NA
Raspberry,Rubus spectabilis,Primary,,Agronomic,NA,Crop Quality (AG)
Raspberry,Rubus stellatus,NA,NA,NA,NA,NA
Raspberry,Rubus ursinus,Primary,,Agronomic,NA,Crop Quality (AG)
Raspberry,Rubus vermontanus,NA,NA,NA,NA,NA
Sainfoin,Hedysarum alpinum,NA,NA,NA,NA,NA
Sainfoin,Hedysarum boreale,NA,NA,NA,NA,NA
Sainfoin,Hedysarum occidentale,NA,NA,NA,NA,NA
Sainfoin,Hedysarum sulphurescens,NA,NA,NA,NA,NA
Saskatoon,Amelanchier alnifolia,NA,NA,NA,NA,NA
Saskatoon,Amelanchier arborea,NA,NA,NA,NA,NA
Saskatoon,Amelanchier bartramiana,NA,NA,NA,NA,NA
Saskatoon,Amelanchier canadensis,NA,NA,NA,NA,NA
Saskatoon,Amelanchier fernaldii,NA,NA,NA,NA,NA
Saskatoon,Amelanchier gaspensis,NA,NA,NA,NA,NA
Saskatoon,Amelanchier humilis,NA,NA,NA,NA,NA
Saskatoon,Amelanchier huronensis,NA,NA,NA,NA,NA
Saskatoon,Amelanchier intermedia,NA,NA,NA,NA,NA
Saskatoon,Amelanchier laevis,NA,NA,NA,NA,NA
Saskatoon,Amelanchier lucida,NA,NA,NA,NA,NA
Saskatoon,Amelanchier mucronata,NA,NA,NA,NA,NA
Saskatoon,Amelanchier sanguinea,NA,NA,NA,NA,NA
Saskatoon,Amelanchier stolonifera,NA,NA,NA,NA,NA
Saskatoon,Amelanchier wiegandii,NA,NA,NA,NA,NA
Spruce,Picea engelmanii,NA,NA,NA,NA,NA
Spruce,Picea glauca,NA,NA,NA,NA,NA
Spruce,Picea mariana,NA,NA,NA,NA,NA
Spruce,Picea rubens,NA,NA,NA,NA,NA
Spruce,Picea sitchensis,NA,NA,NA,NA,NA
Strawberry,Fragaria chiloensis,Primary,,Abiotic,NA,Cold Tolerance (AB)
Strawberry,Fragaria vesca,Tertiary,,Biotic,NA,Disease Resistance (B)
Strawberry,Fragaria virginiana,Primary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus decapetalus,Tertiary,,Biotic,NA,Disease Resistance (B)
Sunflower,Helianthus divaricatus,Tertiary,,,NA,
Sunflower,Helianthus giganteus,Tertiary,,Abiotic,NA,Waterlogging Tolerance (AB)
Sunflower,Helianthus hirsutus,Progenitor,,,NA,
Sunflower,Helianthus laetiflorus,NA,NA,NA,NA,NA
Sunflower,Helianthus maximiliani,Tertiary,,Abiotic,NA,Cold Tolerance (AB)
Sunflower,Helianthus nuttallii,Tertiary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus petiolaris,Secondary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus strumosus,Tertiary,,,NA,
Sunflower,Helianthus tuberosus,,,,NA,
Taxus,Taxus brevifolia,NA,NA,NA,NA,NA
Taxus,Taxus canadensis,NA,NA,NA,NA,NA
Timothy,Phleum alpinum,NA,NA,NA,NA,NA
Trefoil,Lotus denticulatus,NA,NA,NA,NA,NA
Trefoil,Lotus formosissimus,NA,NA,NA,NA,NA
Trefoil,Lotus micranthus,NA,NA,NA,NA,NA
Trefoil,Lotus pinnatus,NA,NA,NA,NA,NA
Trefoil,Lotus purshianus,NA,NA,NA,NA,NA
Vetch,Vicia americana,NA,NA,NA,NA,NA
Vetch,Vicia carolinia,NA,NA,NA,NA,NA
Vetch,Vicia gigantea,NA,NA,NA,NA,NA
Walnut,Juglans cinerea,,,,NA,
Walnut,Juglans nigra,,,,NA,
Wheatgrass,Agropyron albicans,NA,NA,NA,NA,NA
Wheatgrass,Agropyron dasystachyum,NA,NA,NA,NA,NA
Wheatgrass,Agropyron scribneri,NA,NA,NA,NA,NA
Wheatgrass,Agropyron smithii,NA,NA,NA,NA,NA
Wheatgrass,Agropyron spicatum,NA,NA,NA,NA,NA
Wheatgrass,Agropyron trachycaulum,NA,NA,NA,NA,NA
Wild Rice,Zizania aquatica,Secondary,,,NA,
Wild Rye,Elymus canadensis,Tertiary,,,NA,
Wild Rye,Elymus diversiglumis,NA,NA,NA,NA,NA
Wild Rye,Elymus glaucus,Tertiary,,,NA,
Wild Rye,Elymus hirsutus,Tertiary,,,NA,
Wild Rye,Elymus hystrix,Tertiary,,,NA,
Wild Rye,Elymus innovatus,NA,NA,NA,NA,NA
Wild Rye,Elymus mollis,NA,NA,NA,NA,NA
Wild Rye,Elymus piperi,NA,NA,NA,NA,NA
Wild Rye,Elymus riparius,Tertiary,,,NA,
Wild Rye,Elymus sibiricus,NA,NA,NA,NA,NA
Wild Rye,Elymus villosus,NA,NA,NA,NA,NA
Wild Rye,Elymus virginicus,Tertiary,,,NA,
